workload,size,threads,impl,status,runs,ops_median,ops_min,ops_max,cv_pct,wall_ms_median,lat_p50_ns,lat_p99_ns,lat_p999_ns,bytes_per_task,peak_rss_kb_median,reason
mpmc,10000000,6,crossbeam,ok,10,25918767.55,18697542.9,33251407.2,18.14175150310619,386.092068,,,,,2176.0,
mpmc,10000000,6,go,ok,10,18325506.015148845,16802357.690700896,18905885.942056805,3.8973475564796902,545.841027,,,,,2752.0,
mpmc,10000000,6,tokio-tuned,ok,10,64663577.599999994,57867721.8,74967216.8,7.076143264927761,154.7154315,,,,,9160.0,
mpmc,10000000,12,tokio,ok,10,9456416.0,8808230.2,11576720.8,8.531059946229915,1057.5878445,,,,,2816.0,
mpmc,10000000,12,crossbeam,ok,10,24089115.299999997,17671523.9,29807264.9,14.407163089791819,415.1371775,,,,,2176.0,
mpmc,10000000,12,go,ok,10,15330822.536059093,13770159.83587721,16966604.47800983,7.556144937402198,652.3638935,,,,,2816.0,
mpmc,10000000,12,tokio-tuned,ok,10,67666287.05,52777303.7,83071683.1,12.952649991586476,147.8269595,,,,,9180.0,
mpmc-cap1,1000000,1,tokio,ok,10,4610775.6,4543810.4,4695137.6,1.2114979937563175,216.8894775,,,,,2880.0,
mpmc-cap1,1000000,1,crossbeam,ok,10,109139.54999999999,108285.0,109575.8,0.3743703162088418,9162.5852915,,,,,2304.0,
mpmc-cap1,1000000,1,go,ok,10,10379808.146695383,10130638.637485836,10631106.720322287,1.525222872759262,96.3410495,,,,,2560.0,
mpmc-cap1,1000000,1,tokio-tuned,ok,10,34856291.85,34120441.9,35198281.4,0.9640271794186916,28.689227,,,,,7106.0,
mpmc-cap1,1000000,2,tokio,ok,10,2422286.35,2348123.3,2600798.4,3.6870013658215677,412.8336095,,,,,2816.0,
mpmc-cap1,1000000,2,crossbeam,ok,10,7194899.8,4701705.6,7707963.8,17.481626748346592,139.1680015,,,,,2304.0,
mpmc-cap1,1000000,2,go,ok,10,6927872.370265309,4893989.77044555,7440745.640692212,10.914193103070048,144.371526,,,,,2560.0,
mpmc-cap1,1000000,2,tokio-tuned,ok,10,31523710.85,27137177.6,32756936.8,6.00804593665452,31.722259,,,,,7106.0,
mpmc-cap1,1000000,6,tokio,ok,10,2062123.35,1837313.0,2139079.8,6.059839276835402,484.974383,,,,,2880.0,
