workload,size,threads,impl,status,runs,expected_runs,ops_median,ops_min,ops_max,cv_pct,ops_ci_low,ops_ci_high,wall_ms_median,cpu_s_median,ops_per_cpu_s,lat_p50_ns,lat_p99_ns,lat_p999_ns,bytes_per_task,peak_rss_kb_median,reason
spsc,10000000,1,tokio,ok,10,10,26890867.55,23546664.6,28044370.8,5.932441090873659,23896372.7,27636156.9,371.9213205,0.37434999999999996,26716576.624155182,,,,,2816.0,
spsc,10000000,1,crossbeam,ok,10,10,34455198.6,17568157.4,46161361.3,26.87158563750917,27491997.9,46073274.3,290.4329,0.29205,34264222.02793511,,,,,2304.0,
spsc,10000000,1,go,ok,10,10,34526473.55515809,31045968.51442678,35721536.29311481,4.561865637622444,32527446.122335166,35579150.50964073,289.6412035,0.2921,34235637.52886911,,,,,2560.0,
spsc,10000000,1,tokio-tuned,ok,10,10,134778940.15,119303600.5,136433242.1,4.026150857524997,128495331.6,136242748.2,74.1955695,0.0769,130039011.70351104,,,,,7228.0,
spsc,10000000,2,tokio,ok,10,10,13302747.9,12752326.4,13560190.3,2.1865786395858664,12800031.4,13467452.7,751.7244115,1.4238,7023461.815493154,,,,,2816.0,
spsc,10000000,2,crossbeam,ok,10,10,39139642.5,37685867.5,44239066.1,6.211158649755453,37843962.5,44042313.5,255.5442105,0.5107999999999999,19579572.005428463,,,,,2240.0,
spsc,10000000,2,go,ok,10,10,30257099.46515368,26974686.875609335,32705436.16383392,4.664576038738895,29374826.207512595,30732743.154436663,330.5010515,0.46355,21573248.520285975,,,,,2624.0,
spsc,10000000,2,tokio-tuned,ok,10,10,127283914.1,116876994.8,129312273.4,3.098395114958353,122344365.7,128432019.8,78.566246,0.09380000000000001,106609808.1023454,,,,,7102.0,
spsc,10000000,6,tokio,ok,10,10,12474292.95,11927823.5,13442883.0,3.4703615578166556,12062476.3,12797687.1,801.671294,1.7468,5724830.684232498,,,,,2816.0,
spsc,10000000,6,crossbeam,ok,10,10,36173518.95,33796944.0,42354819.4,8.055446174621576,33831449.1,41590470.2,276.4453385,0.5483,18238196.231415868,,,,,2176.0,
spsc,10000000,6,go,ok,10,10,27889815.757161133,23800657.951100558,28597420.521820106,7.2801820792592755,24306826.194894895,28589808.959608704,358.568908,0.53045,18853072.139115166,,,,,2688.0,
spsc,10000000,6,tokio-tuned,ok,10,10,127673912.5,114515514.9,129100258.1,3.85228374221981,119849808.1,128917405.1,78.3245545,0.09759999999999999,102459123.95349447,,,,,9162.0,
spsc,10000000,12,tokio,ok,10,10,13249638.75,12616958.8,13821994.4,3.0052442409976265,12815932.4,13809411.3,754.7436025,1.6533,6048516.2120484,,,,,2816.0,
spsc,10000000,12,crossbeam,ok,10,10,33938456.55,32000740.9,39711149.4,6.546403192875343,32273112.5,35862684.0,294.6524785,0.58725,17028577.214745887,,,,,2176.0,
spsc,10000000,12,go,ok,10,10,27959303.78140214,27428284.29361814,28623301.026041724,1.7069564325814464,27497082.064645465,28594077.3682304,357.663682,0.52715,18969994.26599851,,,,,2816.0,
spsc,10000000,12,tokio-tuned,ok,10,10,128881599.75,126289607.9,132039590.1,1.415865811564721,127268207.4,131684548.0,77.5905965,0.0991,100911872.67385913,,,,,9072.0,
spsc-cap1,1000000,1,tokio,ok,10,10,9722093.5,9146893.9,9992713.9,3.293987967116605,9228301.3,9893196.2,102.8590565,0.1048,9542019.484658107,,,,,2880.0,
spsc-cap1,1000000,1,crossbeam,ok,10,10,135320.4,129556.3,135997.5,1.7192141252133124,131406.7,135915.6,7389.8737835,7.3908000000000005,135303.41708900686,,,,,2304.0,
spsc-cap1,1000000,1,go,ok,10,10,10287364.950505178,8688481.532328406,10540237.77933211,6.386946459270935,9015920.077258501,10439838.97675881,97.206846,0.09945000000000001,10055306.714659818,,,,,2560.0,
spsc-cap1,1000000,1,tokio-tuned,ok,10,10,39155641.650000006,36381135.0,39614953.7,2.9357378585065255,37386926.0,39602130.1,25.539186,0.02815,35524090.75995053,,,,,7098.0,
spsc-cap1,1000000,2,tokio,ok,10,10,5195176.4,5101443.7,5309151.1,1.1263080096670648,5116835.6,5238628.2,192.486303,0.3156,3168568.1254696753,,,,,2816.0,
spsc-cap1,1000000,2,crossbeam,ok,10,10,5942690.0,5574110.4,6070637.2,2.7778923796881347,5694280.8,6061261.4,168.27633,0.33635000000000004,2973226.5523495604,,,,,2240.0,
spsc-cap1,1000000,2,go,ok,10,10,11202464.796371154,10379364.204780081,11379640.92339641,2.50759322398437,11096611.169296192,11353056.089433018,89.266078,0.09475,10554751.03041105,,,,,2624.0,
spsc-cap1,1000000,2,tokio-tuned,ok,10,10,20607014.9,19841296.2,31421058.2,16.192994127707138,20005513.9,21156469.3,48.527918,0.08305000000000001,12041048.303379323,,,,,7100.0,
