workload,size,threads,impl,status,runs,expected_runs,ops_median,ops_min,ops_max,cv_pct,ops_ci_low,ops_ci_high,wall_ms_median,cpu_s_median,ops_per_cpu_s,lat_p50_ns,lat_p99_ns,lat_p999_ns,bytes_per_task,peak_rss_kb_median,reason
spsc,10000000,1,tokio,ok,10,10,29488248.25,28241470.5,29585239.9,1.365116716470408,29347229.2,29572427.4,339.1181575,0.3411,29316918.380186543,,,,,2944.0,
spsc,10000000,1,crossbeam,ok,10,10,46377694.7,21542723.5,46538564.6,24.425322189515043,27793882.9,46506482.8,215.621193,0.2175,45977098.96554698,,,,,2304.0,
spsc,10000000,1,go,ok,10,10,37211987.55335743,36784020.06235767,37387977.906920426,0.5352817866166296,37025672.89809976,37377002.609808095,268.731237,0.27154999999999996,36825691.81581377,,,,,2560.0,
spsc,10000000,1,tokio-tuned-tokio-channels,ok,10,10,32731233.450000003,32580458.1,32779995.2,0.18475264238615682,32663299.7,32765613.7,305.518619,0.3081,32456994.48231094,,,,,7096.0,
spsc,10000000,1,tokio-tuned,ok,10,10,143068040.64999998,139409925.7,143689819.2,0.9297089335668443,141461181.7,143620225.8,69.8968215,0.07264999999999999,137646314.3375736,,,,,7234.0,
spsc,10000000,2,tokio,ok,10,10,13205162.3,12937826.3,13419545.8,1.0064276217092105,13092597.4,13340908.1,757.2816825,1.45445,6875487.676504374,,,,,2944.0,
spsc,10000000,2,crossbeam,ok,10,10,41241032.65,37620129.3,42422833.9,3.9711382951195993,38763215.6,42258274.4,242.493508,0.48460000000000003,20637861.53255499,,,,,2304.0,
spsc,10000000,2,go,ok,10,10,31164056.977009777,30676129.094979864,31943006.82723954,1.2170170234741675,30933152.779407654,31626442.528297387,320.8841145,0.4656,21479759.847427275,,,,,2624.0,
spsc,10000000,2,tokio-tuned-tokio-channels,ok,10,10,23424920.200000003,23076003.9,23587424.3,0.6023881857902851,23326803.3,23511086.0,426.896353,0.7078,14128294.97867861,,,,,7096.0,
spsc,10000000,2,tokio-tuned,ok,10,10,137239397.14999998,133365202.3,138717601.6,1.2269150789465213,134531657.0,138298919.1,72.8655585,0.0889,112486508.57820342,,,,,7236.0,
spsc,10000000,6,tokio,ok,10,10,13156038.2,12561298.9,15224626.8,7.963206314031295,12677845.3,15100921.5,760.160793,1.6869,5928477.760450313,,,,,2880.0,
spsc,10000000,6,crossbeam,ok,10,10,36131530.2,33479838.3,41780995.5,6.639155355055578,34648156.7,38461382.8,276.7948415,0.55215,18114967.296931267,,,,,2304.0,
spsc,10000000,6,go,ok,10,10,29579911.695528664,28967326.596535437,29975325.15164427,1.1733300247417067,29185362.85875626,29945290.61284672,338.0706575,0.5205500000000001,19210579.69118998,,,,,2752.0,
spsc,10000000,6,tokio-tuned-tokio-channels,ok,10,10,24084612.799999997,23500981.8,24608736.8,1.5878459612101128,23661797.2,24548366.0,415.2039275,0.69945,14297027.162695937,,,,,9168.0,
