workload,size,threads,impl,status,runs,expected_runs,ops_median,ops_min,ops_max,cv_pct,ops_ci_low,ops_ci_high,wall_ms_median,cpu_s_median,ops_per_cpu_s,lat_p50_ns,lat_p99_ns,lat_p999_ns,bytes_per_task,peak_rss_kb_median,reason
spsc,10000000,1,tokio,ok,10,10,29446171.0,29243554.7,29553855.4,0.31785064827017845,29400579.3,29545434.2,339.6028565,0.3416,29274007.192527585,,,,,2944.0,
spsc,10000000,1,crossbeam,ok,10,10,48285906.5,23254166.9,48549227.9,22.766721702442812,26169920.3,48464267.9,207.099777,0.20890000000000003,47869805.12933326,,,,,2304.0,
spsc,10000000,1,go,ok,10,10,37369691.197149955,37140383.17948741,37514763.79461101,0.3361044756011945,37229271.344829395,37506639.89422707,267.5965845,0.27,37037057.359153554,,,,,2560.0,
spsc,10000000,1,tokio-tuned,ok,10,10,142732651.14999998,140306483.2,143845381.2,0.763947936178813,140969926.1,143386180.5,70.061055,0.07264999999999999,137646314.3375736,,,,,7232.0,
spsc,10000000,2,tokio,ok,10,10,13588073.05,13467945.4,13867822.5,0.9041981401332153,13499395.6,13768454.6,735.93981,1.3967999999999998,7159227.278070554,,,,,2880.0,
spsc,10000000,2,crossbeam,ok,10,10,40465129.9,39745392.1,42329748.1,2.5378998793775702,39745458.8,42196871.8,247.135872,0.49405,20242294.5916178,,,,,2176.0,
spsc,10000000,2,go,ok,10,10,30876334.92717945,30600235.554493252,31630890.284619495,0.9528211096288911,30611138.74259562,31104712.512315094,323.872692,0.47250000000000003,21164067.614649676,,,,,2560.0,
spsc,10000000,2,tokio-tuned,ok,10,10,135943477.0,130877565.9,137316423.2,1.3815571140437153,134521220.3,137004185.1,73.5599885,0.08904999999999999,112296498.06428832,,,,,7166.0,
spsc,10000000,6,tokio,ok,10,10,13704713.15,12694450.0,14839820.3,5.288194560483963,13061125.5,14731143.2,729.7956385,1.6147500000000001,6193961.716065296,,,,,2816.0,
spsc,10000000,6,crossbeam,ok,10,10,34714719.9,27493277.0,39767480.3,10.271087084882195,29188520.4,36142502.2,288.064513,0.5747,17400401.774580594,,,,,2176.0,
spsc,10000000,6,go,ok,10,10,29387130.405089416,28805433.875481747,29717344.311665237,0.8118795713312174,29224211.87962752,29525400.155533902,340.2850375,0.5281,18936003.83697008,,,,,2752.0,
