workload,size,threads,impl,status,runs,expected_runs,ops_median,ops_min,ops_max,cv_pct,ops_ci_low,ops_ci_high,wall_ms_median,cpu_s_median,ops_per_cpu_s,lat_p50_ns,lat_p99_ns,lat_p999_ns,bytes_per_task,peak_rss_kb_median,reason
spsc,10000000,1,tokio,ok,10,10,29431720.25,29151052.6,29572307.2,0.39670656745185395,29295210.3,29462351.6,339.7694705,0.34165,29269721.101065822,,,,,2944.0,
spsc,10000000,1,crossbeam,ok,10,10,46476501.35,16818350.2,46553901.4,23.119646752809313,33938781.7,46535645.9,215.1625055,0.2172,46040515.65377532,,,,,2304.0,
spsc,10000000,1,go,ok,10,10,37236497.81651609,36761989.00917992,37923560.95198726,1.055481682407091,36926893.82316794,37871424.61229574,268.554401,0.271,36900449.395731315,,,,,2560.0,
spsc,10000000,1,tokio-tuned-tokio-channels,ok,10,10,32371175.15,32185891.7,32510647.7,0.38454699449356683,32201624.5,32480547.0,308.9174935,0.31174999999999997,32077084.604069483,,,,,7290.0,
spsc,10000000,1,tokio-tuned,ok,10,10,141945373.14999998,140769231.5,143789347.7,0.6896314207098048,141194700.3,143457553.7,70.449637,0.07295,137080256.30907416,,,,,7228.0,
spsc,10000000,2,tokio,ok,10,10,13121692.2,12950787.5,13208888.4,0.5798715618812499,13021862.0,13192007.3,762.096866,1.4644,6828737.897543797,,,,,2944.0,
spsc,10000000,2,crossbeam,ok,10,10,39611647.95,36494646.2,43027148.7,5.2066361182605005,38303968.5,42799854.7,252.4670745,0.50525,19792856.833379522,,,,,2304.0,
spsc,10000000,2,go,ok,10,10,30980055.771217167,30552562.898072395,33697777.26563147,2.954324730112397,30695044.43578851,31960398.151901484,322.78832,0.47304999999999997,21139414.674386874,,,,,2688.0,
spsc,10000000,2,tokio-tuned-tokio-channels,ok,10,10,23882316.450000003,23591483.2,24136400.8,0.7609969385176164,23705942.9,24089164.9,418.7200405,0.6928,14434181.341487147,,,,,7228.0,
spsc,10000000,2,tokio-tuned,ok,10,10,135396087.89999998,130467453.9,136935310.8,1.7026163370340808,132010078.4,136777642.4,73.8574645,0.08985,111297467.10004757,,,,,7228.0,
spsc,10000000,6,tokio,ok,10,10,12876045.0,12189167.5,14910620.9,7.027569943964439,12404956.3,14754267.1,776.657323,1.73705,5756956.51163798,,,,,2944.0,
spsc,10000000,6,crossbeam,ok,10,10,38047972.25,33675085.6,39931598.0,5.699189920112707,34790046.4,39715395.8,262.939527,0.52215,19154881.422424655,,,,,2304.0,
spsc,10000000,6,go,ok,10,10,29473657.675702587,27591349.771921072,30032201.096627627,2.450562914707956,28835335.077969145,29967634.44534924,339.2860475,0.5216000000000001,19171959.538932018,,,,,2752.0,
spsc,10000000,6,tokio-tuned-tokio-channels,ok,10,10,23981671.700000003,23402691.6,24495064.9,1.3752136225152634,23528894.2,24211016.0,416.9857975,0.69675,14352513.468600513,,,,,9288.0,
spsc,10000000,6,tokio-tuned,ok,10,10,136963535.2,135587627.7,137279860.2,0.35068270915754657,136798162.7,137222755.0,73.012154,0.0914,109409190.37199125,,,,,9176.0,
spsc,10000000,12,tokio,ok,10,10,13216536.3,12458351.2,14468770.5,5.387416163289744,12487579.1,14145939.4,756.9298395,1.6640000000000001,6010334.394345177,,,,,2944.0,
spsc,10000000,12,crossbeam,ok,10,10,38320197.65,33493733.1,42856715.7,8.38739847712663,33656001.2,40288297.7,261.026101,0.51945,19257915.709609985,,,,,2176.0,
spsc,10000000,12,go,ok,10,10,29589475.373168595,28191813.717516337,29978157.2850608,1.8012005166068716,29048138.653807063,29949773.89972265,337.959061,0.5117499999999999,19541485.533229195,,,,,2816.0,
spsc,10000000,12,tokio-tuned-tokio-channels,ok,10,10,23843155.950000003,19139998.3,24158077.1,6.4983527777419585,23394687.9,24150857.5,419.413726,0.70015,14282659.617059488,,,,,9320.0,
spsc,10000000,12,tokio-tuned,ok,10,10,137377232.9,132571202.7,137801814.4,1.1628699307605463,135972893.5,137740145.6,72.7922965,0.09405,106328856.32885632,,,,,9258.0,
spsc-cap1,1000000,1,tokio,ok,10,10,9378329.8,9259598.2,9509178.3,0.9511566230161127,9260181.6,9450067.8,106.629999,0.10844999999999999,9220997.857361494,,,,,2944.0,
