workload,size,threads,impl,status,runs,expected_runs,ops_median,ops_min,ops_max,cv_pct,ops_ci_low,ops_ci_high,wall_ms_median,cpu_s_median,ops_per_cpu_s,lat_p50_ns,lat_p99_ns,lat_p999_ns,bytes_per_task,peak_rss_kb_median,reason
select-cap1,1000000,12,go,ok,10,10,7154302.933155083,6982550.257778299,7255301.779126238,1.09173833188696,7115142.240800776,7231665.089440511,139.7761715,0.1683,5941789.52719878,,,,,2688.0,
select-cap1,1000000,12,tokio-tuned,ok,10,10,5208111.9,5051832.1,5491012.0,3.008289898362465,5072405.1,5474102.6,192.0082155,0.41285,2422190.1127942093,,,,,9182.0,
mutex,10000000,1,tokio,ok,10,10,51420529.099999994,50940416.6,51583331.3,0.494749136320719,50944854.1,51529295.2,194.474858,0.19625,50955417.320324056,,,,,2944.0,
mutex,10000000,1,crossbeam,ok,10,10,266390971.85000002,265003181.6,267124667.9,0.27317935227575346,265205188.1,266967050.9,37.538832,0.03345,298959673.959674,,,,,2432.0,
mutex,10000000,1,go,ok,10,10,258839742.82341826,253797412.05316904,263022714.9046819,1.283791557081091,254494292.8636848,261883624.15509796,38.634284,0.0406,246306912.97357965,,,,,2432.0,
mutex,10000000,1,tokio-tuned,ok,10,10,230727212.55,228386125.2,233014066.8,0.67984923225129,229452184.1,232906844.4,43.3413075,0.04575,218579496.04884714,,,,,7356.0,
mutex,10000000,2,tokio,ok,10,10,9527401.85,9408379.8,9657860.3,0.9082797642951023,9453257.3,9654271.6,1049.6041115,1.71285,5838249.356185463,,,,,2944.0,
mutex,10000000,2,crossbeam,ok,10,10,46882596.650000006,40720845.1,57015390.3,10.470801582778275,44987743.4,55352792.7,213.3000625,0.418,23924370.600176606,,,,,2304.0,
mutex,10000000,2,go,ok,10,10,57305928.55187157,46967362.05133899,74769303.98563382,15.914728723273267,47801189.9561306,68031932.39302227,174.881212,0.34809999999999997,28782981.774692014,,,,,2432.0,
mutex,10000000,2,tokio-tuned,ok,10,10,148346727.55,145490627.1,153561238.7,1.8343086213532482,145937959.9,152119288.7,67.4096435,0.1335,74907880.1406585,,,,,7230.0,
mutex,10000000,6,tokio,ok,10,10,9972302.6,9712306.8,10045150.3,0.945526843012812,9916097.0,10030282.2,1002.7775295,1.6056,6228201.682017876,,,,,2880.0,
mutex,10000000,6,crossbeam,ok,10,10,35625754.15,34578443.0,38443761.0,2.869568343074378,34995722.7,36142363.7,280.695969,1.57445,6351440.967663584,,,,,2304.0,
mutex,10000000,6,go,ok,10,10,23493992.615716223,23030746.943065047,28005419.440737654,6.347888059870105,23079742.78235974,24955257.46933066,425.6442025,1.71865,5818876.726596306,,,,,2688.0,
mutex,10000000,6,tokio-tuned,ok,10,10,82241412.65,78249020.4,86289900.0,2.3946982156518652,81505614.1,83090058.1,121.593342,0.6358,15728241.321389962,,,,,9234.0,
mutex,10000000,12,tokio,ok,10,10,9744257.149999999,8915494.7,9986069.7,3.5925244507145395,9346055.4,9971580.5,1026.283442,1.6711,5984149.54164462,,,,,2816.0,
mutex,10000000,12,crossbeam,ok,10,10,32249892.65,31485198.2,35350418.7,4.107481623543369,31668604.7,34961671.9,310.0787765,2.14945,4652368.63884717,,,,,2304.0,
mutex,10000000,12,go,ok,10,10,27127634.59142992,26733533.221565243,27631529.31241603,0.9269432741479807,26870160.987974763,27335970.55651359,368.6292905,1.3525,7393729.93333496,,,,,2688.0,
mutex,10000000,12,tokio-tuned,ok,10,10,83521269.0,77793684.0,102670084.4,8.673715543890022,80437492.4,93432951.0,119.733656,0.84295,11863184.348607248,,,,,9262.0,
idle,10000,12,tokio,ok,10,10,1476333.5,1293790.1,1525155.6,8.090483010867747,1324411.6,1498183.5,6.7737205,0.0383,261103.7256706548,,,,410.85,6528.0,
idle,10000,12,crossbeam,ok,10,10,43581.95,43257.3,44376.5,0.04901465076888686,43295.6,44050.2,229.452648,0.89695,11149.039847596932,,,,10160.7,100736.0,
idle,10000,12,go,ok,10,10,646729.2548260321,607655.1299491763,690366.9168993606,0.8247982852384274,629717.013360517,673757.6969237099,15.462421,0.07475,133782.19721375086,,,,2874.9824,30208.0,
idle,10000,12,tokio-tuned,ok,10,10,2557876.9000000004,2405068.9,3474656.9,23.738809132198586,2449639.7,3419621.8,3.909494,0.0398,251257.8675908916,,,,367.20000000000005,11268.0,
idle,100000,12,tokio,ok,10,10,1983036.75,1465653.9,2170690.9,1.3361583050313275,1945862.4,2147565.5,50.4277295,0.3629,275562.7128795992,,,,387.0,40448.0,
idle,100000,12,crossbeam,skipped,0,10,,,,,,,,,,,,,,,one OS thread per task; capped at 20000
idle,100000,12,go,ok,10,10,638082.2470075509,573879.0250275128,685888.7585692627,0.35697458693245565,589503.1176668206,664366.7794659588,156.7200205,0.6232,160466.10149743553,,,,2771.2102400000003,272832.0,
idle,100000,12,tokio-tuned,ok,10,10,4699559.1,4435218.8,5038376.1,3.1053775820099423,4494168.7,4782485.6,21.2796835,0.33055,302599.5456841551,,,,266.75,33806.0,
idle,1000000,12,tokio,ok,10,10,1942353.45,1805424.6,2123404.9,0.1665452444263967,1839342.6,2077472.3,514.8411415,3.6633999999999998,272970.5917196274,,,,384.6,377728.0,
idle,1000000,12,crossbeam,skipped,0,10,,,,,,,,,,,,,,,runner: not enough free memory
idle,1000000,12,go,ok,10,10,699551.1110974557,652058.604275665,717381.8467130595,0.19441174753033577,664963.2409716813,707830.1416045342,1429.492258,5.95035,168066.7620611727,,,,2759.08608,2696758.0,
idle,1000000,12,tokio-tuned,ok,10,10,4640994.95,4461758.2,5135508.1,0.5303921173367298,4524139.1,4663579.7,215.4715845,3.3423,299195.3902536627,,,,257.6,259116.0,
