workload,size,threads,impl,status,runs,expected_runs,ops_median,ops_min,ops_max,cv_pct,ops_ci_low,ops_ci_high,wall_ms_median,cpu_s_median,ops_per_cpu_s,lat_p50_ns,lat_p99_ns,lat_p999_ns,bytes_per_task,peak_rss_kb_median,reason
spsc,10000000,1,tokio,ok,10,10,28749936.5,28095328.5,28965267.6,0.9523249635744252,28470454.7,28926267.8,347.826858,0.3496,28604121.333511703,,,,,2944.0,
spsc,10000000,1,crossbeam,ok,10,10,46380606.55,38400549.7,46517679.7,5.526596451848391,45849468.6,46449839.3,215.6074745,0.21745,45987585.78392497,,,,,2304.0,
spsc,10000000,1,go,ok,10,10,35832180.870845854,34992642.6918961,36201750.56026553,1.0061860687947013,35511895.30593257,36121265.56142048,279.078911,0.28135,35543008.9990073,,,,,2560.0,
spsc,10000000,1,tokio-tuned,ok,10,10,137332379.95,134475793.1,138212910.7,0.786969452333699,136034135.1,137786880.9,72.816044,0.0753,132802124.83399734,,,,,7102.0,
spsc,10000000,2,tokio,ok,10,10,13382682.1,12844943.8,13759569.3,2.507170905028802,12891482.3,13634033.4,747.362141,1.4269,7010100.991045229,,,,,2816.0,
spsc,10000000,2,crossbeam,ok,10,10,39642269.849999994,37530023.2,43185052.4,5.038146100066735,38198851.9,42895899.2,252.259706,0.50305,19878882.853018217,,,,,2176.0,
spsc,10000000,2,go,ok,10,10,31227991.122049652,28415186.773903534,31840230.410681117,3.2095274018094853,30646367.21992972,31802199.27600258,320.226651,0.44915000000000005,22266873.2976984,,,,,2688.0,
spsc,10000000,2,tokio-tuned,ok,10,10,133014086.6,130635468.8,135605861.6,1.029486795064931,131382504.6,133699448.8,75.180026,0.09075,110192870.91588187,,,,,7102.0,
spsc,10000000,6,tokio,ok,10,10,12484414.6,11818729.0,15199656.1,9.787289671236243,12098493.6,14882612.4,801.1520245,1.7897500000000002,5588160.312680948,,,,,2752.0,
spsc,10000000,6,crossbeam,ok,10,10,36485750.849999994,26742535.4,40887042.1,10.486182984866474,34862618.8,39460960.9,274.123898,0.54755,18266831.790419072,,,,,2176.0,
spsc,10000000,6,go,ok,10,10,29384434.261200044,29264515.90443182,29584406.948996145,0.3801817120360259,29273131.288776066,29517976.810948983,340.31635,0.5191,19264197.464889504,,,,,2816.0,
spsc,10000000,6,tokio-tuned,ok,10,10,135218751.55,130853552.1,136336060.5,1.3662455685651862,132967716.4,136259844.1,73.9545765,0.0922,108459997.43554452,,,,,9104.0,
spsc,10000000,12,tokio,ok,10,10,13144888.350000001,11789820.1,14915867.1,8.461861349621595,11821105.3,14592270.4,760.806928,1.68595,5931516.0341408495,,,,,2816.0,
spsc,10000000,12,crossbeam,ok,10,10,37120612.5,34119204.6,40415063.8,6.202474331939388,34547042.2,40350159.0,269.417585,0.53645,18644286.340371095,,,,,2176.0,
spsc,10000000,12,go,ok,10,10,29341410.323838864,27297437.65777066,29645867.65954235,2.3728156629154245,28671461.08736396,29527822.422368888,340.817488,0.516,19380500.06197253,,,,,2816.0,
spsc,10000000,12,tokio-tuned,ok,10,10,134536355.7,131474191.8,136228896.7,1.2380375938663342,131510013.6,135800580.0,74.3293935,0.09485,105429655.02216414,,,,,9078.0,
spsc-cap1,1000000,1,tokio,ok,10,10,9178209.149999999,9024566.9,9297211.9,0.961120526826199,9082793.0,9295294.1,108.953728,0.11080000000000001,9025278.10970926,,,,,2880.0,
